profile,environment_id,workload,concurrency,stat,measured_ns,modeled_ns,residual_ns,samples,tail_count
reference-local,0f71829da8f641a2,wal_append,1,p50,4500,5417,917,4,0
reference-local,0f71829da8f641a2,wal_append,1,p95,7084,6208,-876,4,0
reference-local,0f71829da8f641a2,wal_append,1,p99,7084,6208,-876,4,0
reference-local,0f71829da8f641a2,wal_fsync,1,p50,53084,51958,-1126,4,0
reference-local,0f71829da8f641a2,wal_fsync,1,p95,54458,78541,24083,4,0
reference-local,0f71829da8f641a2,wal_fsync,1,p99,54458,78541,24083,4,0
reference-local,0f71829da8f641a2,sst_random_read,1,p50,750,541,-209,4,0
reference-local,0f71829da8f641a2,sst_random_read,1,p95,1000,1041,41,4,0
reference-local,0f71829da8f641a2,sst_random_read,1,p99,1000,1041,41,4,0
reference-local,0f71829da8f641a2,sst_sequential_read,1,p50,541,541,0,4,0
reference-local,0f71829da8f641a2,sst_sequential_read,1,p95,1291,1041,-250,4,0
reference-local,0f71829da8f641a2,sst_sequential_read,1,p99,1291,1041,-250,4,0
reference-local,0f71829da8f641a2,atomic_publish,1,p50,143375,277332,133957,4,0
reference-local,0f71829da8f641a2,atomic_publish,1,p95,145958,292168,146210,4,0
reference-local,0f71829da8f641a2,atomic_publish,1,p99,145958,292168,146210,4,0
reference-local,0f71829da8f641a2,loopback_rtt,1,p50,65791,1000000,934209,4,0
reference-local,0f71829da8f641a2,loopback_rtt,1,p95,68875,1000000,931125,4,0
reference-local,0f71829da8f641a2,loopback_rtt,1,p99,68875,1000000,931125,4,0
reference-local,0f71829da8f641a2,commit_c1,1,p50,12310042,1057375,-11252667,2,0
reference-local,0f71829da8f641a2,commit_c1,1,p95,13012833,1084749,-11928084,2,0
reference-local,0f71829da8f641a2,commit_c1,1,p99,13012833,1084749,-11928084,2,0
reference-local,0f71829da8f641a2,commit_c8,8,p50,51769417,1057375,-50712042,16,0
reference-local,0f71829da8f641a2,commit_c8,8,p95,108825459,1084749,-107740710,16,0
reference-local,0f71829da8f641a2,commit_c8,8,p99,108825459,1084749,-107740710,16,0
reference-local,0f71829da8f641a2,commit_c64,64,p50,732211875,1057375,-731154500,128,1
reference-local,0f71829da8f641a2,commit_c64,64,p95,2236154917,1084749,-2235070168,128,1
reference-local,0f71829da8f641a2,commit_c64,64,p99,2660134542,1084749,-2659049793,128,1
