format	owner	decoder	version	max_input_bytes	max_declared_count	allocation_budget_bytes	work_budget
cc-input	cc-env	decode_input	1	262144	4096	262144	1000000
cc-effect	cc-env	decode_effect	1	262144	4096	262144	1000000
ccap	cc-cluster	AppEnvelope::decode	1	262144	4096	262144	1000000
ccar	cc-core	AdminReply::decode	1	262144	4096	262144	1000000
ccbi	cc-host	RecordedBootImage::decode	3	262144	4096	262144	1000000
ccbk-v1	cc-node	import_legacy_backup	1	262144	4096	262144	1000000
ccbk-v2	cc-node	decode_backup_v2	2	262144	4096	262144	1000000
cccf	cc-core	ConfigEnvelope::decode	1	262144	4096	262144	1000000
cchy-v1	cc-checker	decode_history_v1_tsv	1	262144	4096	262144	1000000
cchy-v2	cc-checker	HistoryDocument::decode	2-3	262144	4096	262144	1000000
ccid	cc-node	DiskIdentity::decode	1	262144	1	262144	1000000
ccij	cc-host	InputJournal::decode	1	262144	4096	262144	1000000
cckv	cc-kv	decode_command	1	262144	4096	262144	1000000
cckr	cc-kv	decode_reply	1	262144	4096	262144	1000000
cchl	cc-env	PeerHello::decode	1	262144	64	262144	1000000
cclr	cc-log	recover_framed_record_stream	1	262144	4096	262144	1000000
ccmf	cc-store	decode_manifest_v2	2	262144	16384	262144	1000000
ccmt	cc-store	decode_meta_v2	2	262144	64	262144	1000000
ccpf	cc-env	decode_peer_frame	1	262144	4096	262144	1000000
ccpl	cc-core	ClusterPolicy::decode	1	262144	64	262144	1000000
ccrp	cc-raft	codec::decode	2-3	262144	4096	262144	1000000
ccsn	cc-cluster	decode_ccsn	1	262144	1000000	262144	1000000
cctr	cc-core	Trace::decode	1	262144	100000	262144	1000000
ccwl	cc-wal	recover	1	262144	4096	262144	1000000
resp	cc-resp	parse	RESP2	262144	4096	262144	1000000
sst-v1	cc-store	SstTable::decode	1	262144	16384	262144	1000000
sst-v2	cc-store	SstV2Table::decode	2	262144	16384	262144	1000000
sst-v2-block	cc-store	decode_data_block	2	262144	16384	262144	1000000
sst-v2-bloom	cc-store	decode_bloom_block	2	262144	16384	262144	1000000
store-wal	cc-store	recover_store_wal	1	262144	4096	262144	1000000
